nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
North East And Yorkshire,2021-04-20,6,13338,0,720,6,14058,FALSE
North East And Yorkshire,2021-04-21,4,13342,1,721,5,14063,FALSE
North East And Yorkshire,2021-04-22,3,13345,1,722,4,14067,FALSE
North East And Yorkshire,2021-04-23,1,13346,0,722,1,14068,FALSE
North East And Yorkshire,2021-04-24,0,13346,2,724,2,14070,FALSE
North East And Yorkshire,2021-04-25,2,13348,1,725,3,14073,FALSE
North East And Yorkshire,2021-04-26,1,13349,0,725,1,14074,FALSE
North East And Yorkshire,2021-04-27,2,13351,0,725,2,14076,FALSE
North East And Yorkshire,2021-04-28,2,13353,1,726,3,14079,FALSE
North East And Yorkshire,2021-04-29,0,13353,0,726,0,14079,FALSE
North East And Yorkshire,2021-04-30,3,13356,0,726,3,14082,FALSE
North East And Yorkshire,2021-05-01,2,13358,0,726,2,14084,FALSE
North East And Yorkshire,2021-05-02,3,13361,0,726,3,14087,FALSE
North East And Yorkshire,2021-05-03,2,13363,0,726,2,14089,FALSE
North East And Yorkshire,2021-05-04,2,13365,0,726,2,14091,FALSE
North East And Yorkshire,2021-05-05,5,13370,1,727,6,14097,FALSE
North East And Yorkshire,2021-05-06,0,13370,1,728,1,14098,FALSE
North East And Yorkshire,2021-05-07,3,13373,0,728,3,14101,FALSE
North East And Yorkshire,2021-05-08,3,13376,0,728,3,14104,FALSE
North East And Yorkshire,2021-05-09,2,13378,1,729,3,14107,FALSE
North East And Yorkshire,2021-05-10,0,13378,0,729,0,14107,FALSE
North East And Yorkshire,2021-05-11,2,13380,0,729,2,14109,FALSE
North East And Yorkshire,2021-05-12,5,13385,3,732,8,14117,FALSE
North East And Yorkshire,2021-05-13,1,13386,0,732,1,14118,FALSE
North East And Yorkshire,2021-05-14,0,13386,0,732,0,14118,FALSE
North East And Yorkshire,2021-05-15,1,13387,1,733,2,14120,FALSE
North East And Yorkshire,2021-05-16,1,13388,0,733,1,14121,FALSE
North East And Yorkshire,2021-05-17,1,13389,1,734,2,14123,FALSE
North East And Yorkshire,2021-05-18,0,13389,1,735,1,14124,FALSE
North East And Yorkshire,2021-05-19,1,13390,0,735,1,14125,FALSE
North East And Yorkshire,2021-05-20,0,13390,0,735,0,14125,FALSE
North East And Yorkshire,2021-05-21,1,13391,0,735,1,14126,FALSE
North East And Yorkshire,2021-05-22,0,13391,0,735,0,14126,FALSE
North East And Yorkshire,2021-05-23,0,13391,0,735,0,14126,FALSE
North East And Yorkshire,2021-05-24,1,13392,0,735,1,14127,FALSE
North East And Yorkshire,2021-05-25,0,13392,0,735,0,14127,FALSE
North East And Yorkshire,2021-05-26,2,13394,0,735,2,14129,FALSE
North East And Yorkshire,2021-05-27,0,13394,0,735,0,14129,FALSE
North East And Yorkshire,2021-05-28,2,13396,0,735,2,14131,FALSE
North East And Yorkshire,2021-05-29,0,13396,0,735,0,14131,FALSE
North East And Yorkshire,2021-05-30,1,13397,1,736,2,14133,FALSE
North East And Yorkshire,2021-05-31,1,13398,0,736,1,14134,FALSE
North East And Yorkshire,2021-06-01,0,13398,0,736,0,14134,FALSE
North East And Yorkshire,2021-06-02,2,13400,0,736,2,14136,FALSE
North East And Yorkshire,2021-06-03,0,13400,1,737,1,14137,FALSE
North East And Yorkshire,2021-06-04,0,13400,1,738,1,14138,FALSE
North East And Yorkshire,2021-06-05,1,13401,0,738,1,14139,FALSE
North East And Yorkshire,2021-06-06,1,13402,1,739,2,14141,FALSE
North East And Yorkshire,2021-06-07,0,13402,0,739,0,14141,FALSE
North East And Yorkshire,2021-06-08,1,13403,0,739,1,14142,FALSE
North East And Yorkshire,2021-06-09,0,13403,0,739,0,14142,FALSE
North East And Yorkshire,2021-06-10,1,13404,0,739,1,14143,FALSE
North East And Yorkshire,2021-06-11,2,13406,1,740,3,14146,FALSE
North East And Yorkshire,2021-06-12,0,13406,0,740,0,14146,FALSE
North East And Yorkshire,2021-06-13,1,13407,0,740,1,14147,FALSE
North East And Yorkshire,2021-06-14,0,13407,0,740,0,14147,FALSE
North East And Yorkshire,2021-06-15,2,13409,0,740,2,14149,FALSE
North East And Yorkshire,2021-06-16,0,13409,0,740,0,14149,FALSE
North East And Yorkshire,2021-06-17,0,13409,0,740,0,14149,FALSE
North East And Yorkshire,2021-06-18,0,13409,0,740,0,14149,FALSE
North East And Yorkshire,2021-06-19,2,13411,0,740,2,14151,FALSE
North East And Yorkshire,2021-06-20,3,13414,0,740,3,14154,FALSE
North East And Yorkshire,2021-06-21,2,13416,0,740,2,14156,FALSE
North East And Yorkshire,2021-06-22,3,13419,0,740,3,14159,FALSE
North East And Yorkshire,2021-06-23,0,13419,0,740,0,14159,FALSE
North East And Yorkshire,2021-06-24,2,13421,0,740,2,14161,FALSE
North East And Yorkshire,2021-06-25,0,13421,0,740,0,14161,FALSE
North East And Yorkshire,2021-06-26,1,13422,0,740,1,14162,FALSE
North East And Yorkshire,2021-06-27,4,13426,1,741,5,14167,FALSE
North East And Yorkshire,2021-06-28,3,13429,0,741,3,14170,FALSE
North East And Yorkshire,2021-06-29,3,13432,0,741,3,14173,FALSE
North East And Yorkshire,2021-06-30,1,13433,0,741,1,14174,FALSE
North East And Yorkshire,2021-07-01,5,13438,0,741,5,14179,FALSE
North East And Yorkshire,2021-07-02,2,13440,0,741,2,14181,FALSE
North East And Yorkshire,2021-07-03,5,13445,1,742,6,14187,FALSE
North East And Yorkshire,2021-07-04,1,13446,0,742,1,14188,FALSE
North East And Yorkshire,2021-07-05,0,13446,0,742,0,14188,FALSE
North East And Yorkshire,2021-07-06,4,13450,0,742,4,14192,FALSE
North East And Yorkshire,2021-07-07,2,13452,0,742,2,14194,FALSE
North East And Yorkshire,2021-07-08,5,13457,0,742,5,14199,FALSE
North East And Yorkshire,2021-07-09,8,13465,0,742,8,14207,FALSE
North East And Yorkshire,2021-07-10,3,13468,0,742,3,14210,FALSE
North East And Yorkshire,2021-07-11,5,13473,0,742,5,14215,FALSE
North East And Yorkshire,2021-07-12,2,13475,0,742,2,14217,FALSE
North East And Yorkshire,2021-07-13,12,13487,0,742,12,14229,FALSE
North East And Yorkshire,2021-07-14,8,13495,0,742,8,14237,FALSE
North East And Yorkshire,2021-07-15,11,13506,0,742,11,14248,FALSE
North East And Yorkshire,2021-07-16,8,13514,0,742,8,14256,FALSE
North East And Yorkshire,2021-07-17,6,13520,0,742,6,14262,FALSE
North East And Yorkshire,2021-07-18,12,13532,0,742,12,14274,FALSE
North East And Yorkshire,2021-07-19,20,13552,2,744,22,14296,FALSE
North East And Yorkshire,2021-07-20,12,13564,0,744,12,14308,FALSE
North East And Yorkshire,2021-07-21,11,13575,0,744,11,14319,FALSE
North East And Yorkshire,2021-07-22,7,13582,1,745,8,14327,FALSE
North East And Yorkshire,2021-07-23,12,13594,0,745,12,14339,FALSE
North East And Yorkshire,2021-07-24,13,13607,0,745,13,14352,FALSE
North East And Yorkshire,2021-07-25,13,13620,0,745,13,14365,FALSE
North East And Yorkshire,2021-07-26,16,13636,0,745,16,14381,FALSE
North East And Yorkshire,2021-07-27,12,13648,1,746,13,14394,FALSE
North East And Yorkshire,2021-07-28,18,13666,0,746,18,14412,FALSE
North East And Yorkshire,2021-07-29,16,13682,0,746,16,14428,FALSE
North East And Yorkshire,2021-07-30,13,13695,1,747,14,14442,FALSE
North East And Yorkshire,2021-07-31,16,13711,2,749,18,14460,FALSE
North East And Yorkshire,2021-08-01,10,13721,1,750,11,14471,FALSE
North East And Yorkshire,2021-08-02,13,13734,0,750,13,14484,FALSE
North East And Yorkshire,2021-08-03,17,13751,0,750,17,14501,FALSE
North East And Yorkshire,2021-08-04,10,13761,1,751,11,14512,FALSE
North East And Yorkshire,2021-08-05,25,13786,0,751,25,14537,FALSE
North East And Yorkshire,2021-08-06,16,13802,0,751,16,14553,FALSE
North East And Yorkshire,2021-08-07,16,13818,0,751,16,14569,FALSE
North East And Yorkshire,2021-08-08,14,13832,0,751,14,14583,FALSE
North East And Yorkshire,2021-08-09,13,13845,0,751,13,14596,FALSE
North East And Yorkshire,2021-08-10,15,13860,0,751,15,14611,FALSE
North East And Yorkshire,2021-08-11,15,13875,0,751,15,14626,FALSE
North East And Yorkshire,2021-08-12,20,13895,0,751,20,14646,FALSE
North East And Yorkshire,2021-08-13,15,13910,1,752,16,14662,FALSE
North East And Yorkshire,2021-08-14,16,13926,3,755,19,14681,FALSE
North East And Yorkshire,2021-08-15,12,13938,1,756,13,14694,FALSE
North East And Yorkshire,2021-08-16,13,13951,0,756,13,14707,FALSE
North East And Yorkshire,2021-08-17,15,13966,1,757,16,14723,FALSE
North East And Yorkshire,2021-08-18,15,13981,1,758,16,14739,FALSE
North East And Yorkshire,2021-08-19,17,13998,0,758,17,14756,FALSE
North East And Yorkshire,2021-08-20,18,14016,0,758,18,14774,FALSE
North East And Yorkshire,2021-08-21,15,14031,1,759,16,14790,FALSE
North East And Yorkshire,2021-08-22,17,14048,2,761,19,14809,FALSE
North East And Yorkshire,2021-08-23,16,14064,1,762,17,14826,FALSE
North East And Yorkshire,2021-08-24,20,14084,0,762,20,14846,FALSE
North East And Yorkshire,2021-08-25,9,14093,0,762,9,14855,FALSE
North East And Yorkshire,2021-08-26,8,14101,0,762,8,14863,FALSE
North East And Yorkshire,2021-08-27,22,14123,1,763,23,14886,FALSE
North East And Yorkshire,2021-08-28,17,14140,1,764,18,14904,FALSE
North East And Yorkshire,2021-08-29,19,14159,2,766,21,14925,FALSE
North East And Yorkshire,2021-08-30,13,14172,3,769,16,14941,FALSE
North East And Yorkshire,2021-08-31,26,14198,2,771,28,14969,FALSE
North East And Yorkshire,2021-09-01,15,14213,0,771,15,14984,FALSE
North East And Yorkshire,2021-09-02,14,14227,1,772,15,14999,FALSE
North East And Yorkshire,2021-09-03,22,14249,1,773,23,15022,FALSE
North East And Yorkshire,2021-09-04,17,14266,0,773,17,15039,FALSE
North East And Yorkshire,2021-09-05,23,14289,1,774,24,15063,FALSE
North East And Yorkshire,2021-09-06,20,14309,0,774,20,15083,FALSE
North East And Yorkshire,2021-09-07,13,14322,1,775,14,15097,FALSE
North East And Yorkshire,2021-09-08,16,14338,0,775,16,15113,FALSE
North East And Yorkshire,2021-09-09,22,14360,1,776,23,15136,FALSE
North East And Yorkshire,2021-09-10,27,14387,1,777,28,15164,FALSE
North East And Yorkshire,2021-09-11,14,14401,1,778,15,15179,FALSE
North East And Yorkshire,2021-09-12,17,14418,0,778,17,15196,FALSE
North East And Yorkshire,2021-09-13,12,14430,1,779,13,15209,FALSE
North East And Yorkshire,2021-09-14,24,14454,2,781,26,15235,FALSE
North East And Yorkshire,2021-09-15,19,14473,3,784,22,15257,FALSE
North East And Yorkshire,2021-09-16,26,14499,1,785,27,15284,FALSE
North East And Yorkshire,2021-09-17,16,14515,1,786,17,15301,FALSE
North East And Yorkshire,2021-09-18,10,14525,3,789,13,15314,FALSE
North East And Yorkshire,2021-09-19,20,14545,2,791,22,15336,FALSE
North East And Yorkshire,2021-09-20,27,14572,0,791,27,15363,FALSE
North East And Yorkshire,2021-09-21,16,14588,1,792,17,15380,FALSE
North East And Yorkshire,2021-09-22,20,14608,0,792,20,15400,FALSE
North East And Yorkshire,2021-09-23,14,14622,3,795,17,15417,FALSE
North East And Yorkshire,2021-09-24,22,14644,2,797,24,15441,FALSE
North East And Yorkshire,2021-09-25,12,14656,1,798,13,15454,FALSE
North East And Yorkshire,2021-09-26,15,14671,1,799,16,15470,FALSE
North East And Yorkshire,2021-09-27,11,14682,3,802,14,15484,FALSE
North East And Yorkshire,2021-09-28,11,14693,1,803,12,15496,FALSE
North East And Yorkshire,2021-09-29,23,14716,1,804,24,15520,FALSE
North East And Yorkshire,2021-09-30,14,14730,5,809,19,15539,FALSE
North East And Yorkshire,2021-10-01,15,14745,1,810,16,15555,FALSE
North East And Yorkshire,2021-10-02,12,14757,1,811,13,15568,FALSE
North East And Yorkshire,2021-10-03,17,14774,0,811,17,15585,FALSE
North East And Yorkshire,2021-10-04,10,14784,4,815,14,15599,FALSE
North East And Yorkshire,2021-10-05,9,14793,1,816,10,15609,FALSE
North East And Yorkshire,2021-10-06,12,14805,0,816,12,15621,FALSE
North East And Yorkshire,2021-10-07,18,14823,0,816,18,15639,FALSE
North East And Yorkshire,2021-10-08,23,14846,1,817,24,15663,FALSE
North East And Yorkshire,2021-10-09,13,14859,2,819,15,15678,FALSE
North East And Yorkshire,2021-10-10,10,14869,2,821,12,15690,FALSE
North East And Yorkshire,2021-10-11,16,14885,0,821,16,15706,FALSE
North East And Yorkshire,2021-10-12,18,14903,2,823,20,15726,FALSE
North East And Yorkshire,2021-10-13,25,14928,2,825,27,15753,FALSE
North East And Yorkshire,2021-10-14,21,14949,1,826,22,15775,FALSE
North East And Yorkshire,2021-10-15,26,14975,0,826,26,15801,FALSE
North East And Yorkshire,2021-10-16,20,14995,1,827,21,15822,FALSE
North East And Yorkshire,2021-10-17,16,15011,1,828,17,15839,FALSE
North East And Yorkshire,2021-10-18,15,15026,0,828,15,15854,FALSE
North East And Yorkshire,2021-10-19,20,15046,1,829,21,15875,FALSE
North East And Yorkshire,2021-10-20,26,15072,1,830,27,15902,FALSE
North East And Yorkshire,2021-10-21,20,15092,1,831,21,15923,FALSE
North East And Yorkshire,2021-10-22,24,15116,0,831,24,15947,FALSE
North East And Yorkshire,2021-10-23,21,15137,3,834,24,15971,FALSE
North East And Yorkshire,2021-10-24,22,15159,2,836,24,15995,FALSE
North East And Yorkshire,2021-10-25,23,15182,1,837,24,16019,FALSE
North East And Yorkshire,2021-10-26,15,15197,4,841,19,16038,FALSE
North East And Yorkshire,2021-10-27,30,15227,0,841,30,16068,FALSE
North East And Yorkshire,2021-10-28,22,15249,3,844,25,16093,FALSE
North East And Yorkshire,2021-10-29,14,15263,1,845,15,16108,FALSE
North East And Yorkshire,2021-10-30,26,15289,3,848,29,16137,FALSE
North East And Yorkshire,2021-10-31,30,15319,0,848,30,16167,FALSE
North East And Yorkshire,2021-11-01,17,15336,0,848,17,16184,FALSE
North East And Yorkshire,2021-11-02,28,15364,0,848,28,16212,FALSE
North East And Yorkshire,2021-11-03,23,15387,3,851,26,16238,FALSE
North East And Yorkshire,2021-11-04,22,15409,3,854,25,16263,FALSE
North East And Yorkshire,2021-11-05,20,15429,1,855,21,16284,FALSE
North East And Yorkshire,2021-11-06,21,15450,2,857,23,16307,FALSE
North East And Yorkshire,2021-11-07,22,15472,0,857,22,16329,FALSE
North East And Yorkshire,2021-11-08,16,15488,0,857,16,16345,FALSE
North East And Yorkshire,2021-11-09,18,15506,2,859,20,16365,FALSE
North East And Yorkshire,2021-11-10,17,15523,1,860,18,16383,FALSE
North East And Yorkshire,2021-11-11,25,15548,0,860,25,16408,FALSE
North East And Yorkshire,2021-11-12,18,15566,1,861,19,16427,FALSE
North East And Yorkshire,2021-11-13,18,15584,4,865,22,16449,FALSE
North East And Yorkshire,2021-11-14,17,15601,2,867,19,16468,FALSE
North East And Yorkshire,2021-11-15,16,15617,1,868,17,16485,FALSE
North East And Yorkshire,2021-11-16,17,15634,1,869,18,16503,FALSE
North East And Yorkshire,2021-11-17,13,15647,0,869,13,16516,FALSE
North East And Yorkshire,2021-11-18,22,15669,2,871,24,16540,FALSE
North East And Yorkshire,2021-11-19,16,15685,1,872,17,16557,FALSE
North East And Yorkshire,2021-11-20,15,15700,1,873,16,16573,FALSE
North East And Yorkshire,2021-11-21,14,15714,1,874,15,16588,FALSE
North East And Yorkshire,2021-11-22,16,15730,0,874,16,16604,FALSE
North East And Yorkshire,2021-11-23,13,15743,2,876,15,16619,FALSE
North East And Yorkshire,2021-11-24,19,15762,4,880,23,16642,FALSE
North East And Yorkshire,2021-11-25,20,15782,0,880,20,16662,FALSE
North East And Yorkshire,2021-11-26,18,15800,2,882,20,16682,FALSE
North East And Yorkshire,2021-11-27,11,15811,0,882,11,16693,FALSE
North East And Yorkshire,2021-11-28,15,15826,2,884,17,16710,FALSE
North East And Yorkshire,2021-11-29,16,15842,2,886,18,16728,FALSE
North East And Yorkshire,2021-11-30,9,15851,2,888,11,16739,FALSE
North East And Yorkshire,2021-12-01,17,15868,1,889,18,16757,FALSE
North East And Yorkshire,2021-12-02,13,15881,1,890,14,16771,FALSE
North East And Yorkshire,2021-12-03,21,15902,2,892,23,16794,FALSE
North East And Yorkshire,2021-12-04,21,15923,2,894,23,16817,FALSE
North East And Yorkshire,2021-12-05,17,15940,1,895,18,16835,FALSE
North East And Yorkshire,2021-12-06,13,15953,3,898,16,16851,FALSE
North East And Yorkshire,2021-12-07,14,15967,1,899,15,16866,FALSE
North East And Yorkshire,2021-12-08,14,15981,2,901,16,16882,FALSE
North East And Yorkshire,2021-12-09,9,15990,1,902,10,16892,FALSE
North East And Yorkshire,2021-12-10,12,16002,2,904,14,16906,FALSE
North East And Yorkshire,2021-12-11,12,16014,0,904,12,16918,FALSE
North East And Yorkshire,2021-12-12,16,16030,2,906,18,16936,FALSE
North East And Yorkshire,2021-12-13,17,16047,0,906,17,16953,FALSE
North East And Yorkshire,2021-12-14,7,16054,2,908,9,16962,FALSE
North East And Yorkshire,2021-12-15,9,16063,0,908,9,16971,FALSE
North East And Yorkshire,2021-12-16,10,16073,0,908,10,16981,FALSE
North East And Yorkshire,2021-12-17,16,16089,1,909,17,16998,FALSE
North East And Yorkshire,2021-12-18,7,16096,5,914,12,17010,FALSE
North East And Yorkshire,2021-12-19,12,16108,0,914,12,17022,FALSE
North East And Yorkshire,2021-12-20,17,16125,0,914,17,17039,FALSE
North East And Yorkshire,2021-12-21,10,16135,0,914,10,17049,FALSE
North East And Yorkshire,2021-12-22,16,16151,0,914,16,17065,FALSE
North East And Yorkshire,2021-12-23,9,16160,2,916,11,17076,FALSE
North East And Yorkshire,2021-12-24,10,16170,1,917,11,17087,FALSE
North East And Yorkshire,2021-12-25,17,16187,3,920,20,17107,FALSE
North East And Yorkshire,2021-12-26,16,16203,3,923,19,17126,FALSE
North East And Yorkshire,2021-12-27,9,16212,0,923,9,17135,FALSE
North East And Yorkshire,2021-12-28,18,16230,0,923,18,17153,FALSE
North East And Yorkshire,2021-12-29,8,16238,1,924,9,17162,FALSE
North East And Yorkshire,2021-12-30,17,16255,0,924,17,17179,FALSE
North East And Yorkshire,2021-12-31,13,16268,2,926,15,17194,FALSE
North East And Yorkshire,2022-01-01,18,16286,1,927,19,17213,FALSE
North East And Yorkshire,2022-01-02,12,16298,2,929,14,17227,FALSE
North East And Yorkshire,2022-01-03,18,16316,2,931,20,17247,FALSE
North East And Yorkshire,2022-01-04,15,16331,1,932,16,17263,FALSE
North East And Yorkshire,2022-01-05,17,16348,0,932,17,17280,FALSE
North East And Yorkshire,2022-01-06,25,16373,0,932,25,17305,FALSE
North East And Yorkshire,2022-01-07,28,16401,1,933,29,17334,FALSE
North East And Yorkshire,2022-01-08,24,16425,0,933,24,17358,FALSE
North East And Yorkshire,2022-01-09,21,16446,1,934,22,17380,FALSE
North East And Yorkshire,2022-01-10,32,16478,0,934,32,17412,FALSE
North East And Yorkshire,2022-01-11,31,16509,1,935,32,17444,FALSE
North East And Yorkshire,2022-01-12,38,16547,0,935,38,17482,FALSE
North East And Yorkshire,2022-01-13,26,16573,0,935,26,17508,FALSE
North East And Yorkshire,2022-01-14,29,16602,0,935,29,17537,FALSE
North East And Yorkshire,2022-01-15,31,16633,2,937,33,17570,FALSE
North East And Yorkshire,2022-01-16,40,16673,1,938,41,17611,FALSE
North East And Yorkshire,2022-01-17,36,16709,1,939,37,17648,FALSE
North East And Yorkshire,2022-01-18,28,16737,0,939,28,17676,FALSE
North East And Yorkshire,2022-01-19,30,16767,0,939,30,17706,FALSE
North East And Yorkshire,2022-01-20,26,16793,1,940,27,17733,FALSE
North East And Yorkshire,2022-01-21,35,16828,2,942,37,17770,FALSE
North East And Yorkshire,2022-01-22,39,16867,1,943,40,17810,FALSE
North East And Yorkshire,2022-01-23,33,16900,0,943,33,17843,FALSE
North East And Yorkshire,2022-01-24,32,16932,0,943,32,17875,FALSE
North East And Yorkshire,2022-01-25,26,16958,1,944,27,17902,FALSE
North East And Yorkshire,2022-01-26,35,16993,1,945,36,17938,FALSE
North East And Yorkshire,2022-01-27,34,17027,1,946,35,17973,FALSE
North East And Yorkshire,2022-01-28,34,17061,1,947,35,18008,FALSE
North East And Yorkshire,2022-01-29,27,17088,2,949,29,18037,FALSE
North East And Yorkshire,2022-01-30,25,17113,0,949,25,18062,FALSE
North East And Yorkshire,2022-01-31,41,17154,2,951,43,18105,FALSE
North East And Yorkshire,2022-02-01,26,17180,0,951,26,18131,FALSE
North East And Yorkshire,2022-02-02,19,17199,1,952,20,18151,FALSE
North East And Yorkshire,2022-02-03,23,17222,1,953,24,18175,FALSE
North East And Yorkshire,2022-02-04,23,17245,0,953,23,18198,FALSE
North East And Yorkshire,2022-02-05,27,17272,2,955,29,18227,FALSE
North East And Yorkshire,2022-02-06,23,17295,1,956,24,18251,FALSE
North East And Yorkshire,2022-02-07,23,17318,0,956,23,18274,FALSE
North East And Yorkshire,2022-02-08,23,17341,1,957,24,18298,FALSE
North East And Yorkshire,2022-02-09,17,17358,4,961,21,18319,FALSE
North East And Yorkshire,2022-02-10,18,17376,1,962,19,18338,FALSE
North East And Yorkshire,2022-02-11,14,17390,1,963,15,18353,FALSE
North East And Yorkshire,2022-02-12,16,17406,1,964,17,18370,FALSE
North East And Yorkshire,2022-02-13,23,17429,3,967,26,18396,FALSE
North East And Yorkshire,2022-02-14,30,17459,0,967,30,18426,FALSE
North East And Yorkshire,2022-02-15,21,17480,0,967,21,18447,FALSE
North East And Yorkshire,2022-02-16,18,17498,0,967,18,18465,FALSE
North East And Yorkshire,2022-02-17,14,17512,2,969,16,18481,FALSE
North East And Yorkshire,2022-02-18,13,17525,4,973,17,18498,FALSE
North East And Yorkshire,2022-02-19,18,17543,1,974,19,18517,FALSE
North East And Yorkshire,2022-02-20,18,17561,0,974,18,18535,FALSE
North East And Yorkshire,2022-02-21,12,17573,0,974,12,18547,FALSE
North East And Yorkshire,2022-02-22,14,17587,0,974,14,18561,FALSE
North East And Yorkshire,2022-02-23,10,17597,2,976,12,18573,FALSE
North East And Yorkshire,2022-02-24,20,17617,1,977,21,18594,FALSE
North East And Yorkshire,2022-02-25,13,17630,2,979,15,18609,FALSE
North East And Yorkshire,2022-02-26,14,17644,0,979,14,18623,FALSE
North East And Yorkshire,2022-02-27,15,17659,1,980,16,18639,FALSE
North East And Yorkshire,2022-02-28,15,17674,0,980,15,18654,FALSE
North East And Yorkshire,2022-03-01,8,17682,1,981,9,18663,FALSE
North East And Yorkshire,2022-03-02,7,17689,2,983,9,18672,FALSE
North East And Yorkshire,2022-03-03,16,17705,0,983,16,18688,FALSE
North East And Yorkshire,2022-03-04,9,17714,0,983,9,18697,FALSE
North East And Yorkshire,2022-03-05,12,17726,1,984,13,18710,FALSE
North East And Yorkshire,2022-03-06,14,17740,0,984,14,18724,FALSE
North East And Yorkshire,2022-03-07,8,17748,0,984,8,18732,FALSE
North East And Yorkshire,2022-03-08,17,17765,2,986,19,18751,FALSE
North East And Yorkshire,2022-03-09,14,17779,1,987,15,18766,FALSE
North East And Yorkshire,2022-03-10,10,17789,1,988,11,18777,FALSE
North East And Yorkshire,2022-03-11,10,17799,0,988,10,18787,FALSE
North East And Yorkshire,2022-03-12,18,17817,2,990,20,18807,FALSE
North East And Yorkshire,2022-03-13,9,17826,0,990,9,18816,FALSE
North East And Yorkshire,2022-03-14,14,17840,0,990,14,18830,FALSE
North East And Yorkshire,2022-03-15,7,17847,0,990,7,18837,FALSE
North East And Yorkshire,2022-03-16,21,17868,2,992,23,18860,FALSE
North East And Yorkshire,2022-03-17,13,17881,0,992,13,18873,FALSE
North East And Yorkshire,2022-03-18,19,17900,0,992,19,18892,FALSE
North East And Yorkshire,2022-03-19,13,17913,2,994,15,18907,FALSE
North East And Yorkshire,2022-03-20,19,17932,1,995,20,18927,FALSE
North East And Yorkshire,2022-03-21,10,17942,1,996,11,18938,FALSE
North East And Yorkshire,2022-03-22,22,17964,0,996,22,18960,FALSE
North East And Yorkshire,2022-03-23,13,17977,0,996,13,18973,FALSE
